No,Price,Area,Bedrooms,WCs,District,Floors,Legal_status,Frontage,Price_per_sqm,District_encoded,Month
79,5.8,94.0,3.0,2.0,quan-2,4.0,1.0,0.0,0.06,1,9
80,6.0,85.0,5.0,5.0,quan-2,3.0,1.0,-1.0,0.07,1,9
81,11.0,55.0,3.0,3.0,quan-2,3.0,-1.0,-1.0,0.2,1,9
82,13.1,95.25,5.0,5.0,quan-2,4.0,-1.0,-1.0,0.14,1,9
83,6.99,68.5,4.0,3.0,quan-2,2.0,-1.0,1.0,0.1,1,9
84,13.1,110.0,6.0,6.0,quan-2,3.0,1.0,1.0,0.12,1,9
85,13.5,61.0,8.0,4.0,quan-2,4.0,1.0,-1.0,0.22,1,9
86,7.49,75.0,5.0,4.0,quan-2,4.0,1.0,-1.0,0.1,1,9
87,17.0,88.0,5.0,5.0,quan-2,4.0,1.0,1.0,0.19,1,7
88,17.0,90.0,5.0,5.0,quan-2,4.0,1.0,-1.0,0.19,1,7
89,17.0,90.0,5.0,5.0,quan-2,4.0,1.0,-1.0,0.19,1,7
90,5.0,40.0,3.0,3.0,quan-2,3.0,-1.0,-1.0,0.12,1,6
91,18.0,80.0,6.0,6.0,quan-2,4.0,1.0,1.0,0.22,1,6
92,5.0,78.0,2.0,2.0,quan-2,2.0,-1.0,-1.0,0.06,1,5
93,3.0,65.0,3.0,2.0,quan-2,4.0,1.0,1.0,0.05,1,5
94,13.1,95.25,5.0,5.0,quan-2,4.0,1.0,0.0,0.14,1,5
95,1.5,35.0,3.0,3.0,quan-2,2.0,-1.0,-1.0,0.04,1,5
96,10.95,90.0,5.0,4.0,quan-2,5.0,1.0,-1.0,0.12,1,5
97,10.0,95.25,8.0,2.0,quan-2,6.0,1.0,-1.0,0.1,1,5
98,9.0,80.0,4.0,5.0,quan-2,3.0,1.0,-1.0,0.11,1,5
99,7.6,58.5,4.0,4.0,quan-2,3.0,1.0,0.0,0.13,1,4
100,13.1,95.25,5.0,5.0,quan-2,4.0,-1.0,1.0,0.14,1,4
101,17.0,90.0,6.0,6.0,quan-2,4.0,-1.0,1.0,0.19,1,4
102,17.0,90.0,5.0,5.0,quan-2,4.0,1.0,-1.0,0.19,1,4
103,15.0,56.0,6.0,7.0,quan-2,5.0,1.0,1.0,0.27,1,3
104,13.1,44.0,3.0,3.0,quan-2,3.0,-1.0,0.0,0.3,1,3
105,3.4,56.0,2.0,2.0,quan-2,3.0,1.0,0.0,0.06,1,3
106,6.5,52.0,4.0,4.0,quan-2,4.0,1.0,0.0,0.12,1,3
107,11.3,91.0,4.0,2.0,quan-2,2.0,1.0,1.0,0.12,1,3
108,13.1,85.0,4.0,4.0,quan-2,1.0,-1.0,1.0,0.15,1,2
109,10.2,80.0,3.0,4.0,quan-2,3.0,1.0,1.0,0.13,1,2
110,8.0,80.0,3.0,4.0,quan-2,3.0,1.0,1.0,0.1,1,1
111,9.2,51.0,3.0,4.0,quan-3,5.0,-1.0,0.0,0.18,2,11
112,16.0,81.22,4.0,4.0,quan-3,3.0,-1.0,0.0,0.2,2,10
113,11.5,81.22,4.0,4.0,quan-3,3.0,-1.0,0.0,0.14,2,10
114,6.5,36.0,4.0,3.0,quan-3,4.0,1.0,0.0,0.18,2,10
115,11.5,63.0,4.0,2.0,quan-3,7.0,-1.0,1.0,0.18,2,10
116,3.4,21.54,2.0,2.0,quan-3,4.0,-1.0,-1.0,0.16,2,10
117,15.0,52.0,5.0,4.0,quan-3,3.0,-1.0,-1.0,0.29,2,10
118,2.25,27.0,3.0,3.0,quan-3,3.0,1.0,1.0,0.08,2,9
119,2.55,61.0,4.0,4.0,quan-3,3.0,-1.0,0.0,0.04,2,9
120,2.25,45.0,2.0,2.0,quan-3,2.0,1.0,-1.0,0.05,2,9
121,2.35,50.0,3.0,3.0,quan-3,3.0,1.0,0.0,0.05,2,9
122,6.7,35.0,5.0,4.0,quan-3,3.0,-1.0,0.0,0.19,2,9
123,2.45,47.0,6.0,4.0,quan-3,3.0,1.0,0.0,0.05,2,9
124,4.5,40.0,8.0,3.0,quan-3,5.0,1.0,1.0,0.11,2,9
125,6.6,100.0,2.0,2.0,quan-3,5.0,-1.0,-1.0,0.07,2,9
126,1.89,21.0,2.0,2.0,quan-3,2.0,-1.0,-1.0,0.09,2,9
127,1.89,25.0,3.0,2.0,quan-3,3.0,1.0,-1.0,0.08,2,9
128,9.0,75.0,3.0,4.0,quan-3,2.0,-1.0,0.0,0.12,2,8
129,3.1,48.0,4.0,3.0,quan-3,8.0,-1.0,1.0,0.06,2,8
130,7.0,50.0,8.0,5.0,quan-3,6.0,-1.0,0.0,0.14,2,8
131,5.0,60.0,3.0,2.0,quan-3,2.0,-1.0,0.0,0.08,2,8
132,8.0,101.0,4.0,3.0,quan-3,3.0,-1.0,1.0,0.08,2,8
133,7.2,42.0,3.0,2.0,quan-3,2.0,-1.0,0.0,0.17,2,7
134,14.0,105.0,9.0,4.0,quan-3,3.0,-1.0,1.0,0.13,2,7
135,7.5,30.0,3.0,3.0,quan-3,4.0,1.0,0.0,0.25,2,7
136,4.5,18.0,3.0,3.0,quan-3,5.0,1.0,0.0,0.25,2,7
137,3.7,19.5,2.0,3.0,quan-3,5.0,1.0,0.0,0.19,2,7
138,4.95,60.0,3.0,2.0,quan-3,2.0,-1.0,-1.0,0.08,2,7
139,5.3,38.0,4.0,3.0,quan-3,4.0,1.0,-1.0,0.14,2,7
140,2.6,32.0,5.0,4.0,quan-3,2.0,-1.0,0.0,0.08,2,7
141,2.7,34.0,5.0,4.0,quan-3,3.0,1.0,-1.0,0.08,2,7
142,12.5,70.0,4.0,5.0,quan-3,4.0,1.0,0.0,0.18,2,7
143,2.6,60.0,4.0,2.0,quan-3,2.0,1.0,0.0,0.04,2,6
144,4.5,36.0,4.0,4.0,quan-3,3.0,-1.0,0.0,0.12,2,6
145,11.5,70.0,2.0,2.0,quan-3,6.0,-1.0,0.0,0.16,2,6
146,9.5,38.0,3.0,2.0,quan-3,3.0,-1.0,0.0,0.25,2,6
147,4.5,31.0,4.0,2.0,quan-3,2.0,1.0,0.0,0.15,2,6
148,3.0,50.0,2.0,2.0,quan-3,2.0,-1.0,-1.0,0.06,2,6
149,14.7,53.0,5.0,5.0,quan-3,6.0,1.0,0.0,0.28,2,6
150,6.3,46.0,3.0,3.0,quan-3,3.0,1.0,-1.0,0.14,2,6
151,9.8,55.0,3.0,4.0,quan-3,5.0,1.0,0.0,0.18,2,6
152,9.8,56.0,3.0,4.0,quan-3,5.0,1.0,0.0,0.18,2,6
153,6.0,39.0,4.0,3.0,quan-3,5.0,-1.0,0.0,0.15,2,5
154,3.35,34.0,3.0,3.0,quan-3,4.0,1.0,0.0,0.1,2,5
155,3.3,27.0,3.0,2.0,quan-3,4.0,1.0,0.0,0.12,2,5
156,5.5,41.0,4.0,3.0,quan-3,3.0,-1.0,0.0,0.13,2,5
157,5.5,41.0,4.0,3.0,quan-3,3.0,-1.0,0.0,0.13,2,5
158,4.3,24.0,2.0,2.0,quan-3,3.0,-1.0,0.0,0.18,2,5
159,3.2,20.0,2.0,3.0,quan-3,3.0,1.0,-1.0,0.16,2,5
160,9.0,60.0,3.0,4.0,quan-3,2.0,1.0,0.0,0.15,2,5
