Price,Area,Bedrooms,WCs,District,Floors,Legal_status,Price_per_sqm,District_encoded,Month,Frontage_1,Frontage_0
75.0,200.0,5.0,5.0,quan-3,4.0,0.0,0.38,2,8,1,0
85.0,260.0,10.0,9.0,quan-3,8.0,0.0,0.33,2,8,0,0
21.0,90.0,3.0,2.0,quan-3,2.0,0.0,0.23,2,8,0,0
9.0,75.0,3.0,2.0,quan-3,2.0,0.0,0.12,2,8,0,1
140.0,280.0,14.0,14.0,quan-3,7.0,0.0,0.5,2,8,0,0
3.1,48.0,5.0,4.0,quan-3,8.0,0.0,0.06,2,8,1,0
7.0,50.0,8.0,5.0,quan-3,6.0,0.0,0.14,2,8,0,1
5.0,60.0,3.0,2.0,quan-3,2.0,0.0,0.08,2,8,0,1
8.0,101.0,4.0,3.0,quan-3,3.0,0.0,0.08,2,8,1,0
30.9,69.0,10.0,10.0,quan-3,4.0,1.0,0.45,2,7,1,0
7.2,42.0,3.0,2.0,quan-3,2.0,0.0,0.17,2,7,0,1
14.0,105.0,9.0,4.0,quan-3,3.0,0.0,0.13,2,7,1,0
49.0,220.0,7.0,6.0,quan-3,4.0,0.0,0.22,2,7,1,0
7.5,30.0,3.0,3.0,quan-3,4.0,1.0,0.25,2,7,0,1
4.5,18.0,3.0,3.0,quan-3,5.0,1.0,0.25,2,7,0,1
28.5,65.0,4.0,5.0,quan-3,4.0,1.0,0.44,2,7,1,0
3.7,19.5,2.0,3.0,quan-3,5.0,1.0,0.19,2,7,0,1
4.95,60.0,3.0,2.0,quan-3,2.0,0.0,0.08,2,7,0,0
5.3,38.0,3.0,4.0,quan-3,4.0,1.0,0.14,2,7,0,0
2.6,32.0,2.0,2.0,quan-3,2.0,0.0,0.08,2,7,0,1
2.7,34.0,3.0,3.0,quan-3,3.0,1.0,0.08,2,7,0,0
12.5,70.0,4.0,5.0,quan-3,3.0,1.0,0.18,2,7,0,1
2.6,60.0,4.0,2.0,quan-3,2.0,1.0,0.04,2,6,0,1
4.5,36.0,3.0,3.0,quan-3,3.0,0.0,0.12,2,6,0,1
11.5,70.0,2.0,2.0,quan-3,6.0,0.0,0.16,2,6,0,1
9.5,38.0,3.0,2.0,quan-3,3.0,0.0,0.25,2,6,0,1
4.5,31.0,4.0,2.0,quan-3,2.0,1.0,0.15,2,6,0,1
3.0,50.0,2.0,2.0,quan-3,2.0,0.0,0.06,2,6,0,0
14.7,53.0,5.0,5.0,quan-3,6.0,1.0,0.28,2,6,0,1
6.3,46.0,3.0,3.0,quan-3,3.0,1.0,0.14,2,6,0,0
9.8,55.0,3.0,4.0,quan-3,5.0,1.0,0.18,2,6,0,1
9.8,56.0,3.0,4.0,quan-3,5.0,1.0,0.18,2,6,0,1
6.0,39.0,4.0,4.0,quan-3,5.0,0.0,0.15,2,5,0,1
3.35,34.0,3.0,3.0,quan-3,3.0,1.0,0.1,2,5,0,1
3.3,27.0,3.0,2.0,quan-3,4.0,1.0,0.12,2,5,0,1
5.5,41.0,3.0,3.0,quan-3,3.0,0.0,0.13,2,5,0,1
5.5,41.0,3.0,3.0,quan-3,3.0,0.0,0.13,2,5,0,1
4.3,24.0,2.0,2.0,quan-3,3.0,0.0,0.18,2,5,0,1
32.0,80.0,5.0,5.0,quan-3,6.0,1.0,0.4,2,5,1,0
3.2,20.0,2.0,3.0,quan-3,3.0,1.0,0.16,2,5,0,0
37.5,91.0,8.0,8.0,quan-3,3.0,0.0,0.41,2,5,0,0
9.0,60.0,3.0,4.0,quan-3,2.0,1.0,0.15,2,5,0,1
9.0,60.0,3.0,4.0,quan-3,2.0,1.0,0.15,2,4,0,1
7.2,38.0,4.0,5.0,quan-3,4.0,0.0,0.19,2,4,0,1
51.0,86.0,4.0,4.0,quan-3,4.0,1.0,0.59,2,4,1,0
8.9,190.0,4.0,4.0,quan-3,4.0,1.0,0.05,2,4,0,0
27.2,120.0,5.0,5.0,quan-3,5.0,0.0,0.23,2,4,0,0
5.36,61.0,4.0,5.0,quan-3,4.0,1.0,0.09,2,4,0,1
20.0,62.9,10.0,11.0,quan-3,4.0,0.0,0.32,2,3,0,1
115.0,280.0,10.0,10.0,quan-3,7.0,1.0,0.41,2,3,1,0
5.0,63.0,3.0,3.0,quan-3,2.0,0.0,0.08,2,3,0,0
4.56,42.0,3.0,3.0,quan-3,4.0,1.0,0.11,2,3,1,0
49.0,137.0,25.0,10.0,quan-3,7.0,0.0,0.36,2,3,0,0
7.5,35.0,4.0,4.0,quan-3,4.0,0.0,0.21,2,3,0,0
2.7,30.0,2.0,3.0,quan-3,2.0,1.0,0.09,2,3,0,0
17.9,330.0,4.0,4.0,quan-3,2.0,1.0,0.05,2,3,0,0
3.9,18.0,3.0,3.0,quan-3,3.0,1.0,0.22,2,3,0,0
5.5,25.0,3.0,4.0,quan-3,4.0,1.0,0.22,2,3,0,1
4.0,48.0,5.0,5.0,quan-3,3.0,1.0,0.08,2,3,0,1
11.5,100.0,4.0,5.0,quan-3,4.0,0.0,0.12,2,3,0,0
62.16,172.68,3.0,3.0,quan-3,2.0,0.0,0.36,2,3,0,0
7.5,35.2,3.0,3.0,quan-3,4.0,0.0,0.21,2,3,0,0
4.5,31.0,2.0,2.0,quan-3,2.0,1.0,0.15,2,3,1,0
7.5,42.0,3.0,3.0,quan-3,4.0,0.0,0.18,2,2,0,0
10.0,65.0,5.0,5.0,quan-3,5.0,0.0,0.15,2,2,1,0
8.7,65.0,4.0,5.0,quan-3,4.0,0.0,0.13,2,2,1,0
8.3,55.0,4.0,5.0,quan-3,5.0,0.0,0.15,2,2,0,0
10.0,45.0,4.0,4.0,quan-3,4.0,1.0,0.22,2,2,0,1
14.0,43.0,3.0,2.0,quan-3,3.0,1.0,0.33,2,2,1,0
9.0,60.0,1.0,2.0,quan-3,4.0,0.0,0.15,2,1,0,1
17.0,88.0,4.0,4.0,quan-3,3.0,0.0,0.19,2,1,0,1
12.8,75.0,5.0,6.0,quan-4,4.0,1.0,0.17,3,12,1,0
4.85,47.0,3.0,3.0,quan-4,4.0,1.0,0.1,3,11,1,0
4.5,34.0,3.0,3.0,quan-4,4.0,0.0,0.13,3,11,1,0
3.3,62.0,2.0,2.0,quan-4,2.0,0.0,0.05,3,11,0,0
3.3,42.0,3.0,1.0,quan-4,3.0,1.0,0.08,3,11,0,0
5.9,28.0,3.0,5.0,quan-4,4.0,1.0,0.21,3,11,1,0
7.5,32.0,4.0,3.0,quan-4,5.0,0.0,0.23,3,11,1,0
15.0,73.0,4.0,3.0,quan-4,4.0,0.0,0.21,3,11,1,0
3.4,24.0,3.0,3.0,quan-4,4.0,1.0,0.14,3,11,1,0
3.4,72.0,3.0,3.0,quan-4,4.0,1.0,0.05,3,11,1,0
6.5,42.0,2.0,2.0,quan-4,2.0,0.0,0.15,3,7,1,0
